Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Superficie_mitjana_habitatge_(m2)
2017,1,Ciutat Vella,1,el Raval,65.6
2017,1,Ciutat Vella,2,el Barri Gòtic,88.2
2017,1,Ciutat Vella,3,la Barceloneta,46.7
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",72.6
2017,2,Eixample,5,el Fort Pienc,81.9
2017,2,Eixample,6,la Sagrada Família,74.6
2017,2,Eixample,7,la Dreta de l'Eixample,114.3
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,94.6
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,81.7
2017,2,Eixample,10,Sant Antoni,80.5
2017,3,Sants-Montjuïc,11,el Poble Sec,63.3
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,92.4
2017,3,Sants-Montjuïc,13,la Marina de Port,71.7
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,73.7
2017,3,Sants-Montjuïc,15,Hostafrancs,68.4
2017,3,Sants-Montjuïc,16,la Bordeta,71.0
2017,3,Sants-Montjuïc,17,Sants - Badal,68.8
2017,3,Sants-Montjuïc,18,Sants,70.7
2017,4,Les Corts,19,les Corts,84.9
2017,4,Les Corts,20,la Maternitat i Sant Ramon,82.9
2017,4,Les Corts,21,Pedralbes,133.1
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",79.0
2017,5,Sarrià-Sant Gervasi,23,Sarrià,94.7
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,133.6
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,112.9
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,122.5
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,88.4
2017,6,Gràcia,28,Vallcarca i els Penitents,77.4
2017,6,Gràcia,29,el Coll,67.3
2017,6,Gràcia,30,la Salut,77.2
2017,6,Gràcia,31,la Vila de Gràcia,71.9
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,75.3
2017,7,Horta-Guinardó,33,el Baix Guinardó,72.7
2017,7,Horta-Guinardó,34,Can Baró,66.2
2017,7,Horta-Guinardó,35,el Guinardó,69.6
2017,7,Horta-Guinardó,36,la Font d'en Fargues,71.0
2017,7,Horta-Guinardó,37,el Carmel,60.2
2017,7,Horta-Guinardó,38,la Teixonera,63.2
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,70.6
2017,7,Horta-Guinardó,40,Montbau,61.5
2017,7,Horta-Guinardó,41,la Vall d'Hebron,57.3
2017,7,Horta-Guinardó,42,la Clota,64.4
2017,7,Horta-Guinardó,43,Horta,66.6
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,69.4
2017,8,Nou Barris,45,Porta,65.8
2017,8,Nou Barris,46,el Turó de la Peira,64.5
2017,8,Nou Barris,47,Can Peguera,53.8
2017,8,Nou Barris,48,la Guineueta,75.3
2017,8,Nou Barris,49,Canyelles,82.2
2017,8,Nou Barris,50,les Roquetes,58.2
2017,8,Nou Barris,51,Verdun,59.3
2017,8,Nou Barris,52,la Prosperitat,62.0
2017,8,Nou Barris,53,la Trinitat Nova,59.3
2017,8,Nou Barris,54,Torre Baró,62.8
2017,8,Nou Barris,55,Ciutat Meridiana,59.1
2017,8,Nou Barris,56,Vallbona,61.8
2017,9,Sant Andreu,57,la Trinitat Vella,59.5
2017,9,Sant Andreu,58,Baró de Viver,72.1
2017,9,Sant Andreu,59,el Bon Pastor,66.4
2017,9,Sant Andreu,60,Sant Andreu,68.7
2017,9,Sant Andreu,61,la Sagrera,72.5
2017,9,Sant Andreu,62,el Congrés i els Indians,71.4
2017,9,Sant Andreu,63,Navas,74.6
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,70.1
2017,10,Sant Martí,65,el Clot,73.9
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,74.4
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,90.8
2017,10,Sant Martí,68,el Poblenou,72.3
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,86.9
2017,10,Sant Martí,70,el Besòs i el Maresme,63.8
2017,10,Sant Martí,71,Provençals del Poblenou,75.1
2017,10,Sant Martí,72,Sant Martí de Provençals,75.1
2017,10,Sant Martí,73,la Verneda i la Pau,72.8
