,,"€ / m² útil mes",,,,,,
1,"1. el Raval","13,67","24,75","5,36","3,32",790,1.905,
1,"2. el Barri Gòtic","13,81","24,86","4,35","3,68",966,1.101,
1,"3. la Barceloneta","16,94","24,64","8,18","3,36",731,650,
1,"4. Sant Pere, Santa Caterina i la Ribera","14,65","24,82","4,72","3,68",933,1.360,
2,"5. el Fort Pienc","11,88","20,38","5,26","2,60",911,933,
2,"6. la Sagrada Família","12,12","20,00","5,15","2,53",870,1.655,
2,"7. la Dreta de l'Eixample","13,03","20,45","5,67","3,14",1.253,1.887,
2,"8. l'Antiga Esquerra de l'Eixample","12,40","20,51","5,00","2,75",1.061,1.741,
2,"9. la Nova Esquerra de l'Eixample","12,23","20,43","5,00","2,70",958,1.742,
2,"10. Sant Antoni","11,78","20,24","5,22","2,54",888,964,
3,"11. el Poble Sec - Parc Montjuïc","11,98","17,50","5,36","2,13",745,834,
3,"12. la Marina del Prat Vermell - Zona Franca",--,--,--,--,--,--,
3,"13. la Marina de Port","10,38","17,20","5,68","1,91",848,296,
3,"14. la Font de la Guatlla","11,62","17,50","6,77","2,20",854,272,
3,"15. Hostafrancs","11,89","17,50","5,95","2,26",780,450,
3,"16. la Bordeta","10,89","17,50","6,53","2,16",788,404,
3,"17. Sants - Badal","11,52","17,74","5,77","2,18",763,552,
3,"18. Sants","11,56","17,74","5,85","2,18",811,959,
4,"19. les Corts","13,03","21,11","6,47","2,85",981,1.204,
4,"20. la Maternitat i Sant Ramon","12,17","21,05","6,48","2,50",956,759,
4,"21. Pedralbes","14,42","21,11","6,94","3,04",2.372,327,
5,"22. Vallvidrera, el Tibidabo i les Planes","11,63","21,43","6,25","3,12",1.717,127,
5,"23. Sarrià","15,11","22,76","5,83","3,27",1.377,841,
5,"24. les Tres Torres","14,03","22,73","5,62","3,12",1.555,418,
5,"25. Sant Gervasi - la Bonanova","13,73","22,67","5,33","3,21",1.364,1.017,
5,"26. Sant Gervasi - Galvany","13,22","22,80","4,72","3,17",1.391,1.825,
5,"27. el Putxet i el Farró","12,77","22,73","6,44","3,04",968,1.456,
6,"28. Vallcarca i els Penitents","11,97","19,75","5,83","2,53",971,589,
6,"29. el Coll","11,22","18,57","5,79","2,42",745,227,
6,"30. la Salut","11,74","20,00","6,67","2,54",878,424,
6,"31. la Vila de Gràcia","13,01","20,00","5,29","2,76",894,1.748,
6,"32. el Camp d'en Grassot i Gràcia Nova","12,35","20,18","4,93","2,78",872,863,
7,"33. el Baix Guinardó","11,11","16,41","5,14","2,01",821,578,
7,"34. Can Baró","10,73","16,25","5,67","2,08",698,265,
7,"35. el Guinardó","10,78","16,43","5,24","2,07",755,971,
7,"36. la Font d'en Fargues","10,58","16,35","6,18","2,00",907,164,
7,"37. el Carmel","10,09","16,33","4,96","1,88",680,613,
7,"38. la Teixonera","10,59","16,43","5,15","2,06",680,254,
7,"39. Sant Genís dels Agudells","9,96","15,52","5,60","1,96",760,94,
7,"40. Montbau","10,79","15,96","6,25","1,63",724,90,
7,"41. la Vall d'Hebron","10,68","15,42","6,67","1,75",811,55,
7,"42. la Clota",--,--,--,--,--,--,
7,"43. Horta","10,81","16,25","6,14","2,05",720,490,
8,"44. Vilapicina i la Torre Llobeta","10,36","15,25","5,85","1,72",745,404,
8,"45. Porta","10,53","15,00","7,08","1,61",699,293,
8,"46. el Turó de la Peira","10,66","14,52","6,67","1,67",690,142,
8,"47. Can Peguera",--,--,--,--,--,--,
8,"48. la Guineueta","9,90","13,10","7,50","1,23",747,79,
8,"49. Canyelles","9,54","14,44","6,67","1,64",738,37,
8,"50. les Roquetes","10,47","15,00","5,67","1,93",640,167,
8,"51. Verdun","10,82","15,28","6,09","1,88",675,140,
8,"52. la Prosperitat","10,47","15,00","5,93","1,80",679,312,
8,"53. la Trinitat Nova","10,85","15,00","6,11","2,21",636,56,
8,"54. Torre Baró","8,31","11,94","5,42","1,81",612,"10,00",
8,"55. Ciutat Meridiana","9,62","15,15","5,63","1,76",615,111,
8,"56. Vallbona","9,88","13,69","6,25","2,64",629,24,
9,"57. la Trinitat Vella","10,09","16,44","5,45","2,16",663,158,
9,"58. Baró de Viver",--,--,--,--,--,--,
9,"59. el Bon Pastor","10,71","15,50","6,47","1,94",744,128,
9,"60. Sant Andreu","10,87","16,28","5,15","2,14",766,794,
9,"61. la Sagrera","10,97","16,50","5,20","2,15",796,452,
9,"62. el Congrés i els Indians","10,75","16,25","6,92","1,91",780,257,
9,"63. Navas","10,63","16,36","5,60","1,91",791,396,
10,"64. el Camp de l'Arpa del Clot","11,49","20,00","5,00","2,23",788,1.073,
10,"65. el Clot","11,40","20,00","6,20","2,46",814,549,
10,"66. el Parc i la Llacuna del Poblenou","12,49","20,00","5,88","2,87",921,339,
10,"67. la Vila Olímpica del Poblenou","14,42","20,00","4,00","2,77",1.352,240,
10,"68. el Poblenou","13,16","20,10","4,42","2,84",953,623,
10,"69. Diagonal Mar i el Front Marítim del Poblenou","14,89","20,22","6,75","2,95",1.441,244,
10,"70. el Besòs i el Maresme","11,31","19,17","6,00","2,23",859,193,
10,"71. Provençals del Poblenou","12,50","20,00","7,50","2,64",920,316,
10,"72. Sant Martí de Provençals","10,60","20,00","6,91","1,87",815,284,
